track_id,track_name,track_popularity,explicit,artist_name,artist_popularity,artist_followers,artist_genres,album_name,album_type,album_total_tracks,track_duration_min,release_year,release_decade,popularity_90_plus,recent_release,explicit_label,genre_available,artist_track_count,artist_10_plus,genre_track_count,genre_30_plus
4YDHRtzm0OGuieCTVQjVuk,Trivia 起 : Just Dance,60,False,BTS,85.0,81181104.0,k-pop,Love Yourself 結 'Answer',album,26,3.75,2018,2010s,False,False,Non Explicit,Genre Available,31.0,10+ Tracks,93.0,30+ Tracks
1sbEeUY8KsdvgiQi26JBFz,POPSTAR (feat. Drake),62,True,DJ Khaled,73.0,12341870.0,,KHALED KHALED,album,14,3.34,2021,2020s,False,False,Explicit,Genre Missing,9.0,Below 10 Tracks,,Genre Missing
23CKxEwKWsLs6LD5poGOLM,Over,66,True,Lucky Daye,62.0,881274.0,,Candydrip,album,17,3.46,2022,2020s,False,False,Explicit,Genre Missing,3.0,Below 10 Tracks,,Genre Missing
42KRaNuYtMI8d0WSc48Cdp,"Endless, Nameless",29,False,Nirvana,81.0,23384088.0,"grunge, rock",Nevermind (Super Deluxe Edition),album,70,6.72,1991,1990s,False,False,Non Explicit,Genre Available,91.0,10+ Tracks,91.0,30+ Tracks
41WQUSINanQHfhfKpFDsms,Used To Be Young,68,False,Miley Cyrus,81.0,26558356.0,,Endless Summer Vacation,album,14,3.19,2023,2020s,False,False,Non Explicit,Genre Missing,62.0,10+ Tracks,,Genre Missing
5GkQIP5mWPi4KZLLXeuFTT,motive (with Doja Cat),73,True,Ariana Grande,90.0,107374593.0,pop,Positions,album,14,2.8,2020,2020s,False,False,Explicit,Genre Available,101.0,10+ Tracks,303.0,30+ Tracks
7AD4wFJjj4o3goO7FHtSW8,Heisenberg,54,False,Soolking,69.0,6204568.0,"french rap, pop urbaine, french r&b, moroccan pop",Heisenberg,single,1,2.51,2025,2020s,False,True,Non Explicit,Genre Available,1.0,Below 10 Tracks,1.0,Below 30 Tracks
0r4SsYcwvd8URat6AS2m6f,Lush Life,2,False,Zara Larsson,77.0,10911229.0,,Lush Life,single,1,3.35,2015,2010s,False,False,Non Explicit,Genre Missing,6.0,Below 10 Tracks,,Genre Missing
5wIjM4q7oIgiLqn8Qfoyxh,Keisha & Becky - Remix,59,True,Russ Millions,60.0,1038396.0,"uk drill, drill, grime, uk grime",Keisha & Becky (Remix),single,2,4.22,2019,2010s,False,False,Explicit,Genre Available,1.0,Below 10 Tracks,2.0,Below 30 Tracks
1QUyotJH8XoTEan8aZdsiV,Espresso,49,False,Sabrina Carpenter,91.0,26516295.0,pop,Short n' Sweet,album,12,2.92,2024,2020s,False,True,Non Explicit,Genre Available,37.0,10+ Tracks,303.0,30+ Tracks
2OghnlGqZZsFzHjG0CSE9l,Red - Original Demo Recording,41,False,Taylor Swift,100.0,145396321.0,,Red (Deluxe Edition),album,22,3.78,2012,2010s,False,False,Non Explicit,Genre Missing,331.0,10+ Tracks,,Genre Missing
0s8vpu2GVH8MNX2Er3xNYt,Sex Drive,41,True,mgk,78.0,5642365.0,,Hotel Diablo,album,14,2.05,2019,2010s,False,False,Explicit,Genre Missing,36.0,10+ Tracks,,Genre Missing
5yY9lUy8nbvjM1Uyo1Uqoc,Life Is Good (feat. Drake),72,True,Future,88.0,22675640.0,rap,Life Is Good (feat. Drake),single,1,3.96,2020,2020s,False,False,Explicit,Genre Available,24.0,10+ Tracks,192.0,30+ Tracks
7k9GuJYLp2AzqokyEdwEw2,Hunger,54,False,Ross Copperman,41.0,49248.0,,Hunger,single,1,3.43,2015,2010s,False,False,Non Explicit,Genre Missing,1.0,Below 10 Tracks,,Genre Missing
0wXuerDYiBnERgIpbb3JBR,Redbone,4,True,Childish Gambino,78.0,14557537.0,,"""Awaken, My Love!""",album,11,5.45,2016,2010s,False,False,Explicit,Genre Missing,7.0,Below 10 Tracks,,Genre Missing
38GBNKZUhfBkk3oNlWzRYd,NDA,75,True,Billie Eilish,90.0,118692183.0,,Happier Than Ever,album,16,3.26,2021,2020s,False,False,Explicit,Genre Missing,61.0,10+ Tracks,,Genre Missing
5fdhThPDe6jQQDqCyWrdAn,Jolene,72,False,Dolly Parton,70.0,2969733.0,"country, classic country",Jolene (Expanded Edition),album,14,2.69,1974,1970s,False,False,Non Explicit,Genre Available,3.0,Below 10 Tracks,26.0,Below 30 Tracks
2OALaHcDdKkjYEpAr0Qzab,Lonely Together (feat. Rita Ora),46,False,Avicii,79.0,23434221.0,edm,AVĪCI (01),single,6,3.03,2017,2010s,False,False,Non Explicit,Genre Available,14.0,10+ Tracks,82.0,30+ Tracks
7Dh4j5JltkdH159xm77JiF,Crazy,72,True,Myles Lloyd,56.0,38082.0,,Crazy,single,1,2.71,2025,2020s,False,True,Explicit,Genre Missing,1.0,Below 10 Tracks,,Genre Missing
